timestamp,transaction_type,amount,origin_balance_before,origin_balance_after,destination_balance_before,destination_balance_after,transactions_last_hour,is_foreign,new_device,is_fraud
2025-03-23 03:45:26.077728,PAYMENT,364.64,3896.03,3531.39,4523.77,4888.41,0,0,0,0.0
2025-03-09 06:45:26.078624,TRANSFER,829.69,2769.71,1940.02,2647.55,3477.24,0,0,0,0.0
2025-03-16 03:45:26.078631,CASH_IN,667.43,1481.76,814.33,655.75,1323.18,0,0,0,0.0
2025-03-22 23:45:26.078635,CASH_OUT,199.97,2387.94,2187.97,2259.92,2459.89,0,0,0,0.0
2025-03-24 10:45:26.078637,CASH_OUT,457.89,721.05,263.16,1439.79,1897.68,1,0,1,0.0
2025-02-26 05:45:26.078640,CASH_OUT,267.34,2515.95,2248.61,1093.56,1360.9,2,0,0,0.0
2025-03-26 13:45:26.078642,CASH_OUT,555.43,2528.25,1972.82,865.35,1420.78,0,0,1,0.0
2025-03-01 19:45:26.078646,PAYMENT,265.55,2515.19,2249.64,801.62,1067.17,0,0,0,0.0
2025-03-22 08:45:26.078649,TRANSFER,2484.48,20.96,11.63,0.0,649.06,4,1,1,1.0
2025-03-07 23:45:26.078651,PAYMENT,418.31,2265.5,1847.19,54.55,472.86,1,0,0,0.0
2025-03-18 11:45:26.078654,TRANSFER,454.33,536.13,81.8,2286.04,2740.37,1,0,0,0.0
2025-03-13 15:45:26.078657,TRANSFER,1115.28,2002.84,887.56,1072.46,2187.74,0,0,1,0.0
2025-03-08 07:45:26.078659,CASH_IN,391.85,848.34,456.49,1718.48,2110.33,0,0,1,0.0
2025-03-23 18:45:26.078661,CASH_IN,391.66,3605.65,29.46,0.0,536.56,4,1,1,1.0
2025-03-11 21:45:26.078663,DEBIT,804.75,2506.17,1701.42,2194.87,2999.62,1,0,0,0.0
2025-03-23 06:45:26.078666,CASH_IN,802.39,1785.15,982.76,655.62,1458.01,1,0,0,0.0
2025-02-27 18:45:26.078668,CASH_IN,93.68,4070.57,3976.89,106.65,200.33,1,0,0,0.0
2025-03-21 23:45:26.078670,CASH_IN,289.73,1441.26,1151.53,3381.74,3671.47,0,0,0,0.0
2025-02-27 20:45:26.078672,PAYMENT,630.74,122.61,-508.13,1749.29,2380.03,1,0,0,0.0
2025-03-14 13:45:26.078675,PAYMENT,657.26,3583.81,2926.55,1125.33,1782.59,1,0,1,0.0
2025-03-13 02:45:26.078677,DEBIT,498.58,2378.31,1879.73,1269.4,1767.98,0,0,0,0.0
2025-03-06 22:45:26.078679,DEBIT,505.35,1521.98,1016.63,1068.92,1574.27,0,0,0,0.0
2025-03-10 04:45:26.078681,PAYMENT,218.42,1034.38,815.96,2091.89,2310.31,2,0,0,0.0
2025-03-11 08:45:26.078683,PAYMENT,219.95,2766.18,2546.23,356.91,576.86,0,0,0,0.0
2025-03-19 10:45:26.078686,CASH_OUT,1114.85,3220.45,2105.6,666.26,1781.11,0,0,0,0.0
2025-03-15 21:45:26.078688,CASH_OUT,209.4,849.93,640.53,1635.07,1844.47,0,0,0,0.0
2025-03-20 17:45:26.078690,CASH_IN,552.95,2848.01,2295.06,591.04,1143.99,1,1,0,0.0
2025-03-08 06:45:26.078692,CASH_IN,452.35,2375.91,1923.56,787.92,1240.27,1,0,0,0.0
2025-03-14 08:45:26.078694,CASH_IN,769.16,755.87,-13.29,2583.53,3352.69,0,0,0,0.0
2025-03-26 12:45:26.078697,CASH_OUT,534.47,2005.79,1471.32,1700.14,2234.61,1,1,0,0.0
2025-03-16 21:45:26.078699,CASH_OUT,546.03,1180.02,633.99,1716.34,2262.37,0,0,0,0.0
2025-03-04 01:45:26.078701,DEBIT,290.3,3860.51,3570.21,157.4,447.7,0,0,0,0.0
2025-03-07 15:45:26.078703,PAYMENT,2147.57,1026.62,28.36,0.0,3418.19,6,1,1,1.0
2025-03-24 23:45:26.078706,DEBIT,723.39,4263.31,3539.92,2707.14,3430.53,1,0,0,0.0
2025-03-06 03:45:26.078708,PAYMENT,696.4,2197.12,1500.72,130.95,827.35,1,0,0,0.0
2025-02-27 00:45:26.078710,PAYMENT,214.5,618.27,403.77,1369.49,1583.99,0,1,0,0.0
2025-03-07 14:45:26.078712,CASH_OUT,26.59,1259.68,1233.09,1008.47,1035.06,0,1,0,0.0
2025-02-26 06:45:26.078714,CASH_OUT,537.97,1687.09,1149.12,1446.43,1984.4,0,0,0,0.0
2025-03-19 12:45:26.078716,CASH_IN,372.03,4000.44,3628.41,2805.2,3177.23,1,0,0,0.0
2025-02-26 19:45:26.078719,DEBIT,155.4,3845.93,3690.53,1042.94,1198.34,0,1,0,0.0
2025-03-03 23:45:26.078721,DEBIT,1028.05,2249.47,1221.42,2680.47,3708.52,1,0,0,0.0
2025-03-03 19:45:26.078723,CASH_IN,933.52,894.4,-39.12,576.67,1510.19,0,0,0,0.0
2025-03-17 06:45:26.078725,CASH_OUT,646.17,1374.05,727.88,761.82,1407.99,1,0,0,0.0
2025-03-06 09:45:26.078727,PAYMENT,592.2,2311.02,1718.82,1017.91,1610.11,0,0,0,0.0
2025-03-21 23:45:26.078730,CASH_OUT,85.05,3630.96,3545.91,851.32,936.37,1,1,1,0.0
2025-03-07 05:45:26.078732,PAYMENT,277.8,2853.8,2576.0,1529.24,1807.04,0,0,0,0.0
2025-02-28 11:45:26.078734,CASH_IN,411.45,3452.43,3040.98,1689.49,2100.94,0,0,0,0.0
2025-03-26 13:45:26.078736,PAYMENT,284.18,2965.51,2681.33,1776.51,2060.69,0,0,0,0.0
2025-03-20 11:45:26.078739,CASH_OUT,394.93,3408.33,3013.4,2563.51,2958.44,1,0,0,0.0
2025-03-16 00:45:26.078741,PAYMENT,889.77,1391.8,502.03,2380.15,3269.92,2,0,0,0.0
2025-03-11 06:45:26.078743,CASH_IN,337.45,661.16,323.71,302.49,639.94,1,0,0,0.0
2025-03-02 09:45:26.078745,PAYMENT,397.72,342.78,-54.94,1679.9,2077.62,0,0,1,0.0
2025-03-14 06:45:26.078747,DEBIT,721.86,200.21,-521.65,765.53,1487.39,0,0,0,0.0
2025-03-26 20:45:26.078750,CASH_OUT,74.16,2008.36,1934.2,2483.54,2557.7,3,0,0,0.0
2025-03-17 08:45:26.078752,DEBIT,247.94,170.92,-77.02,3054.64,3302.58,0,0,0,0.0
2025-03-13 00:45:26.078754,TRANSFER,278.68,584.35,305.67,2509.94,2788.62,1,0,0,0.0
2025-03-03 21:45:26.078756,DEBIT,516.68,1851.94,1335.26,3787.24,4303.92,1,0,0,0.0
2025-03-13 06:45:26.078758,TRANSFER,396.51,405.41,8.9,2403.65,2800.16,0,0,0,0.0
2025-03-23 14:45:26.078760,TRANSFER,406.0,1270.75,864.75,2698.68,3104.68,0,0,0,0.0
